"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.337455717,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.026935758,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.347785538,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.213742846,
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.724067239,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.833347929,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.213238983,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.33777574,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.633967885,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.739266758,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-0.225418231,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-7.02001809,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q3",3.493950972,
"AUS","QGDP","TOT","PC_CHGPP","Q","2020-Q4",3.438658836,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.946940394,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.588369825,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q3",-1.829795586,
"AUS","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.853500852,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.710958288,
"AUS","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.892928115,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-6.622141971,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-6.527383101,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.718803881,
"ISL","QGDP","TOT","PC_CHGPP","Q","2020-Q4",5.222104289,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-3.83936637,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q2",4.790280489,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.928051349,
"ISL","QGDP","TOT","PC_CHGPP","Q","2021-Q4",3.17478232,
"ISL","QGDP","TOT","PC_CHGPP","Q","2022-Q1",-0.854684349,
"ISL","QGDP","TOT","PC_CHGPP","Q","2022-Q2",3.89241071,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-2.640828448,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-20.991372606,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",16.608614293,
"GBR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.213880983,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",-1.169104099,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",6.541080048,
"GBR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",1.765907329,
